user_id,age,country,device,occupation,acquisition_channel,income_level,registration_date
60,38,Portugal,Android,Employee,Instagram,5025,2025-07-27
61,21,UK,Android,Student,Referral,321,2025-07-18
62,49,UK,Android,Employee,TikTok,1915,2025-08-24
63,37,France,iPhone,Self-employed,TikTok,7731,2025-04-13
64,20,Spain,iPhone,Student,YouTube,600,2025-09-03
65,48,Portugal,Android,Employee,Google,3787,2025-10-19
66,19,France,Android,Student,TikTok,941,2025-01-05
67,23,Spain,Android,Student,TikTok,1136,2025-09-05
68,23,Spain,Android,Student,YouTube,301,2025-11-06
69,41,France,Android,Employee,Google,3024,2025-08-26
70,19,Portugal,Android,Student,Referral,819,2025-11-18
71,49,Portugal,iPhone,Self-employed,TikTok,6773,2025-03-11
72,37,Germany,iPhone,Self-employed,Referral,7875,2025-09-11
73,20,France,iPhone,Student,Referral,1097,2025-05-03
74,38,Portugal,iPhone,Self-employed,Google,1830,2025-11-23
75,23,UK,iPhone,Student,Google,1149,2025-02-15
76,27,France,Android,Self-employed,Google,8840,2025-06-26
77,65,Poland,iPhone,Self-employed,Referral,8181,2025-10-22
78,24,France,Android,Student,Referral,370,2025-04-16
79,61,Portugal,iPhone,Self-employed,Referral,6643,2025-05-26
80,34,UK,iPhone,Self-employed,Referral,1344,2025-04-16
81,56,Germany,iPhone,Self-employed,TikTok,7436,2025-08-10
82,21,Poland,iPhone,Student,Referral,506,2025-12-14
83,27,Spain,Android,Self-employed,Google,1644,2025-09-03
84,22,Poland,Android,Student,TikTok,1082,2025-10-26
85,34,UK,Android,Self-employed,Instagram,7048,2025-01-04
86,20,France,iPhone,Student,YouTube,334,2025-05-07
87,25,Poland,Android,Employee,YouTube,3142,2025-03-05
88,35,UK,iPhone,Self-employed,TikTok,3282,2025-05-28
89,49,Germany,Android,Employee,Instagram,4487,2025-01-20
90,60,Poland,Android,Self-employed,Referral,8874,2025-06-21
91,50,France,iPhone,Self-employed,Referral,5459,2025-11-18
92,21,Spain,iPhone,Student,Google,418,2025-12-16
93,24,UK,iPhone,Student,TikTok,869,2025-11-18
94,52,UK,iPhone,Self-employed,Google,2586,2025-03-23
95,26,Portugal,Android,Self-employed,Instagram,7290,2025-06-13
96,28,Portugal,iPhone,Employee,Google,5204,2025-05-13
97,53,UK,iPhone,Self-employed,Referral,5194,2025-03-07
98,26,Germany,iPhone,Employee,Instagram,5884,2025-05-05
99,40,Germany,Android,Employee,Referral,4653,2025-03-14
100,19,Portugal,Android,Student,Instagram,444,2025-07-23
